timestamp,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7
26774,706,691,568,461,419,365,321,290
26774,1951,342,657,684,541,511,426,363
26774,2015,2024,2107,1422,1472,673,558,456
26774,1991,2042,2057,1570,1533,1579,1373,690
26774,2049,2010,2084,2075,1524,1500,2127,1604
26774,2050,2004,2078,2095,2112,2098,2051,1461
26774,2074,2040,2093,2125,2114,2111,2077,1416
26774,2130,2127,2087,2145,2148,2008,1508,1253
27489,689,691,576,491,414,367,320,286
27489,1951,342,657,731,586,515,419,363
27489,2032,2007,1963,1494,1507,688,499,485
27489,1974,2036,2077,1523,1514,1588,1342,919
27489,2019,2021,2028,2060,1527,1553,2107,1604
27489,2057,2093,2184,2090,2137,2142,2065,1461
27489,2114,2042,2142,2086,2101,2072,1771,1390
27489,2134,2114,2115,2109,2149,2060,1508,1265
27996,774,740,543,471,417,366,324,294
27996,1951,342,657,731,661,495,412,370
27996,1974,2000,1963,1477,1555,688,581,479
27996,2094,2078,2042,1478,1568,1512,1342,919
27996,2095,2088,2074,2144,1527,1547,2059,1622
27996,2068,2087,2081,2122,2076,2127,1930,1574
27996,2086,2091,2142,2094,2112,2082,1771,1390
27996,2164,2102,2108,2105,2133,2120,1508,1274
28715,752,740,587,497,427,366,331,293
28715,1951,342,657,731,613,511,422,365
28715,1995,2001,1963,1468,1522,691,563,483
28715,2020,2072,2015,1519,1522,1517,1342,577
28715,2053,2066,2086,2137,1527,1557,2093,1660
28715,2047,2079,2078,2083,2105,2108,2069,1529
28715,2085,2048,2071,2108,2141,2092,1771,1422
28715,2024,2116,2139,2098,2120,1990,1618,1228
30267,662,567,517,499,432,379,329,289
30267,1951,342,657,731,531,511,432,363
30267,1981,2029,2022,1513,1524,715,585,475
30267,1984,2064,2042,1516,1558,1509,2121,537
30267,2070,1996,2101,2136,1560,1571,2124,1607
30267,2043,2036,2099,2125,2071,2148,2163,1542
30267,2115,2046,2139,2064,2159,2139,1771,1379
30267,2145,2094,2122,2143,2115,2033,1423,1335
30916,725,722,557,480,428,384,324,286
30916,1951,342,657,731,590,516,413,373
30916,2004,2022,2022,1542,1365,715,585,468
30916,1981,2092,2052,1538,1523,1517,2121,658
30916,1919,2034,2045,2074,2115,1533,2014,1607
30916,2074,2069,2064,2116,2050,2092,2163,1628
30916,2015,2135,2106,2077,2141,2082,1771,1379
30916,2145,2130,2079,2097,2149,2110,1440,1274
32356,747,722,556,479,425,380,320,285
32356,1951,342,657,791,524,504,421,365
32356,1991,1983,1371,1491,1529,718,541,488
32356,1990,2036,1985,1524,1526,1552,2121,715
32356,2063,2060,2055,2109,1513,1519,2127,1607
32356,2018,2076,2070,2060,2072,2110,2088,1516
32356,2124,2050,2044,2090,2117,2107,1771,1379
32356,2164,2097,2126,2127,2115,2006,1462,1251
33996,706,726,591,485,417,370,320,284
33996,958,342,1377,716,558,512,433,368
33996,1991,1996,1267,1537,1468,725,548,470
33996,2042,2103,2081,1509,1542,1532,1422,584
33996,2086,2070,2115,2074,1498,1537,2124,1607
33996,2052,2021,2089,2114,2104,2097,2039,1598
33996,2124,2006,2101,2079,2076,2120,1771,1388
33996,2177,2067,2132,2112,2137,2096,1564,1234
34499,757,726,572,467,416,375,333,291
34499,958,342,1377,716,533,533,429,370
34499,2019,2008,1994,1431,1492,467,587,500
34499,2082,2039,2044,1510,1530,1506,1422,584
34499,2026,2060,2077,2036,1562,1543,2124,1607
34499,2103,2055,2084,2059,2120,2139,2039,1598
34499,2064,2081,2120,2079,2085,2122,1771,1410
34499,2076,2073,2088,2066,2091,2033,1564,1239
37674,704,668,662,485,423,377,326,286
37674,927,342,1377,665,527,508,423,358
37674,2008,2049,1978,1534,1471,768,552,482
37674,2035,1997,2095,1518,1519,1549,1397,811
37674,2007,2052,2111,2063,1597,1533,2041,1607
37674,2056,2100,2111,2078,2102,2121,2045,1505
37674,2111,2056,2099,2082,2150,2067,1771,1357
37674,2156,2079,2076,2162,2183,2044,1509,1247
38193,704,688,536,477,425,369,319,289
38193,927,342,1377,665,582,493,434,363
38193,2030,2025,1978,1466,1471,513,589,505
38193,2011,2028,2060,1489,1546,1506,650,811
38193,2008,2015,2068,1993,1571,1515,2063,1607
38193,2045,2100,2110,2092,2140,2136,2045,1505
38193,2059,2078,2113,2117,2121,2129,1771,1405
38193,2164,2133,2094,2124,2140,2048,1421,1255
38750,704,688,613,494,422,374,321,289
38750,927,342,1377,599,603,490,432,363
38750,2027,1977,1439,1447,1477,713,555,454
38750,2011,2017,2113,1506,1523,1518,650,811
38750,2060,2055,2078,2058,1527,1561,2120,1607
38750,2081,2081,2071,2107,2082,2129,2022,1538
38750,2101,2076,2070,2122,2105,2140,1771,1478
38750,2164,2114,2110,2138,2131,2048,1556,1279
